seg_id	seg_chrom	seg_start	seg_end	seg_name	seg_strand	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_h_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS6_human_basecalls_5mC_5hmC_hg38.sorted_m_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_h_readcount	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_iPSC_hiPS48_human_basecalls_5mC_5hmC_hg38.sorted_m_readcount	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_meth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_unmeth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_no_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_methfrac	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_h_readcount	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_meth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_unmeth_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_no_calls	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_methfrac	MN10_WT_Rep1_ontDNA_org_hiPS6_human_d15_basecalls_5mC_5hmC_hg38.sorted_m_readcount
chr1:174239193-174239293	chr1	174239193	174239293	L1PA2_dup214	.	15	131	9	0.10273972602739725	23	92	55	8	0.6258503401360545	23	8	123	7	0.061068702290076333	20	95	37	6	0.7196969696969697	20	14	325	27	0.04129793510324484	57	317	21	28	0.9378698224852071	57
chr1:174383715-174383815	chr1	174383715	174383815	L1PA2_dup215	.	6	98	11	0.057692307692307696	23	90	14	11	0.8653846153846154	23	6	112	11	0.05084745762711865	22	108	10	11	0.9152542372881356	22	10	272	39	0.03546099290780142	62	263	17	41	0.9392857142857143	62
chr7:25603034-25603134	chr7	25603034	25603134	L1PA2_dup2155	.	0	81	3	0.0	17	6	76	2	0.07317073170731707	17	7	114	1	0.05785123966942149	22	13	108	1	0.10743801652892562	22	6	255	9	0.022988505747126436	52	17	244	9	0.06513409961685823	52
chr7:25743833-25743933	chr7	25743833	25743933	L1PA2_dup2157	.	15	136	18	0.09933774834437085	25	121	31	17	0.7960526315789473	25	9	86	12	0.09473684210526316	16	73	23	11	0.7604166666666666	16	9	281	27	0.03103448275862069	49	271	17	29	0.9409722222222222	49
chr7:29579937-29580037	chr7	29579937	29580037	L1PA2_dup2160	.	8	116	9	0.06451612903225806	23	110	13	10	0.8943089430894309	23	16	75	16	0.17582417582417584	19	72	19	16	0.7912087912087912	19	5	259	26	0.01893939393939394	50	254	8	28	0.9694656488549618	50
chr7:30420403-30420503	chr7	30420403	30420503	L1PA2_dup2162	.	9	120	7	0.06976744186046512	24	99	30	7	0.7674418604651163	24	10	82	15	0.10869565217391304	19	70	24	13	0.7446808510638298	19	8	253	32	0.03065134099616858	51	240	20	33	0.9230769230769231	51
chr7:30642730-30642830	chr7	30642730	30642830	L1PA2_dup2163	.	11	142	7	0.0718954248366013	24	44	111	5	0.2838709677419355	24	6	125	10	0.04580152671755725	21	21	115	5	0.15441176470588236	21	25	351	19	0.06648936170212766	59	148	228	19	0.39361702127659576	59
chr7:32688615-32688715	chr7	32688615	32688715	L1PA2_dup2164	.	4	148	7	0.02631578947368421	23	139	13	7	0.9144736842105263	23	8	147	9	0.05161290322580645	24	140	16	8	0.8974358974358975	24	6	265	18	0.02214022140221402	43	256	15	18	0.9446494464944649	43
chr7:33527673-33527773	chr7	33527673	33527773	L1PA2_dup2168	.	8	75	5	0.0963855421686747	19	25	57	6	0.3048780487804878	19	5	51	0	0.08928571428571429	12	35	21	0	0.625	12	6	214	10	0.02727272727272727	49	151	69	10	0.6863636363636364	49
chr7:33994536-33994636	chr7	33994536	33994636	L1PA2_dup2170	.	9	117	10	0.07142857142857142	24	107	20	9	0.84251968503937	24	15	107	7	0.12295081967213115	22	100	22	7	0.819672131147541	22	10	243	18	0.039525691699604744	47	234	16	21	0.936	47
chr7:35092958-35093058	chr7	35092958	35093058	L1PA2_dup2174	.	0	120	5	0.0	23	116	4	5	0.9666666666666667	23	4	98	3	0.0392156862745098	18	66	37	2	0.6407766990291263	18	1	243	15	0.004098360655737705	44	239	4	16	0.9835390946502057	44
chr7:39013452-39013552	chr7	39013452	39013552	L1PA2_dup2180	.	1	78	14	0.012658227848101266	21	66	14	13	0.825	21	11	96	6	0.102803738317757	23	57	51	5	0.5277777777777778	23	4	125	13	0.031007751937984496	31	123	6	13	0.9534883720930233	31
chr7:43059097-43059197	chr7	43059097	43059197	L1PA2_dup2186	.	5	126	12	0.03816793893129771	21	115	15	13	0.8846153846153846	21	9	89	17	0.09183673469387756	21	84	13	18	0.865979381443299	21	11	314	28	0.033846153846153845	53	291	27	35	0.9150943396226415	53
chr1:174849143-174849243	chr1	174849143	174849243	L1PA2_dup219	.	4	103	9	0.037383177570093455	20	81	27	8	0.75	20	14	115	9	0.10852713178294573	24	98	32	8	0.7538461538461538	24	20	234	35	0.07874015748031496	51	220	33	36	0.8695652173913043	51
chr7:50898843-50898943	chr7	50898843	50898943	L1PA2_dup2195	.	5	90	9	0.05263157894736842	27	87	9	8	0.90625	27	7	98	4	0.06666666666666667	28	92	13	4	0.8761904761904762	28	7	155	11	0.043209876543209874	46	150	13	10	0.9202453987730062	46
chr7:51889910-51890010	chr7	51889910	51890010	L1PA2_dup2196	.	0	72	7	0.0	16	64	8	7	0.8888888888888888	16	6	88	9	0.06382978723404255	24	86	8	9	0.9148936170212766	24	3	253	26	0.01171875	58	249	5	28	0.9803149606299213	58
chr7:56584797-56584897	chr7	56584797	56584897	L1PA2_dup2199	.	2	101	14	0.019417475728155338	20	82	22	13	0.7884615384615384	20	1	124	4	0.008	22	122	2	5	0.9838709677419355	22	2	174	19	0.011363636363636364	34	135	41	19	0.7670454545454546	34
chr1:176008267-176008367	chr1	176008267	176008367	L1PA2_dup221	.	1	46	8	0.02127659574468085	19	43	4	8	0.9148936170212766	19	4	63	14	0.05970149253731343	27	58	7	16	0.8923076923076924	27	1	90	9	0.01098901098901099	36	89	2	9	0.978021978021978	36
chr1:176262010-176262110	chr1	176262010	176262110	L1PA2_dup222	.	5	105	8	0.045454545454545456	22	99	10	9	0.908256880733945	22	7	141	4	0.0472972972972973	26	118	30	4	0.7972972972972973	26	14	235	7	0.05622489959839357	46	234	15	7	0.9397590361445783	46
chr7:79235711-79235811	chr7	79235711	79235811	L1PA2_dup2245	.	4	64	9	0.058823529411764705	13	58	10	9	0.8529411764705882	13	4	91	10	0.042105263157894736	18	88	7	10	0.9263157894736842	18	2	280	22	0.0070921985815602835	53	276	5	23	0.9822064056939501	53
chr7:83995242-83995342	chr7	83995242	83995342	L1PA2_dup2254	.	4	37	2	0.0975609756097561	15	36	4	3	0.9	15	3	52	5	0.05454545454545454	20	49	6	5	0.8909090909090909	20	2	159	4	0.012422360248447204	56	158	3	4	0.9813664596273292	56
chr7:84062410-84062510	chr7	84062410	84062510	L1PA2_dup2255	.	5	105	14	0.045454545454545456	21	98	11	15	0.8990825688073395	21	2	63	8	0.03076923076923077	13	57	7	9	0.890625	13	5	178	9	0.0273224043715847	34	174	6	12	0.9666666666666667	34
chr1:177633928-177634028	chr1	177633928	177634028	L1PA2_dup226	.	7	105	7	0.0625	20	103	9	7	0.9196428571428571	20	7	139	17	0.04794520547945205	29	105	41	17	0.7191780821917808	29	1	261	19	0.003816793893129771	49	255	6	20	0.9770114942528736	49
chr7:85335639-85335739	chr7	85335639	85335739	L1PA2_dup2261	.	3	64	10	0.04477611940298507	17	63	3	11	0.9545454545454546	17	2	92	3	0.02127659574468085	20	81	12	4	0.8709677419354839	20	5	212	17	0.02304147465437788	49	211	8	15	0.9634703196347032	49
chr7:86340209-86340309	chr7	86340209	86340309	L1PA2_dup2269	.	3	64	3	0.04477611940298507	12	43	23	4	0.6515151515151515	12	2	56	6	0.034482758620689655	11	52	6	6	0.896551724137931	11	2	229	14	0.008658008658008658	42	227	2	16	0.9912663755458515	42
chr7:87039757-87039857	chr7	87039757	87039857	L1PA2_dup2271	.	1	111	2	0.008928571428571428	24	33	79	2	0.29464285714285715	24	2	109	2	0.018018018018018018	23	14	98	1	0.125	23	2	192	17	0.010309278350515464	44	123	72	16	0.6307692307692307	44
chr7:91583271-91583371	chr7	91583271	91583371	L1PA2_dup2282	.	6	49	4	0.10909090909090909	13	39	15	5	0.7222222222222222	13	15	62	2	0.19480519480519481	16	54	22	3	0.7105263157894737	16	5	199	13	0.024509803921568627	45	194	9	14	0.9556650246305419	45
chr7:91909606-91909706	chr7	91909606	91909706	L1PA2_dup2285	.	15	160	11	0.08571428571428572	32	150	24	12	0.8620689655172413	32	8	141	10	0.053691275167785234	27	134	16	9	0.8933333333333333	27	2	260	21	0.007633587786259542	50	253	9	21	0.9656488549618321	50
chr7:96558114-96558214	chr7	96558114	96558214	L1PA2_dup2289	.	1	62	7	0.015873015873015872	18	57	8	5	0.8769230769230769	18	3	63	4	0.045454545454545456	18	59	7	4	0.8939393939393939	18	5	196	7	0.024875621890547265	54	186	11	11	0.9441624365482234	54
chr7:99809200-99809300	chr7	99809200	99809300	L1PA2_dup2295	.	12	100	5	0.10714285714285714	24	92	20	5	0.8214285714285714	24	6	119	11	0.048	29	113	12	11	0.904	29	8	217	22	0.035555555555555556	51	210	16	21	0.9292035398230089	51
chr7:104563606-104563706	chr7	104563606	104563706	L1PA2_dup2306	.	3	81	9	0.03571428571428571	24	66	17	10	0.7951807228915663	24	3	60	6	0.047619047619047616	18	54	10	5	0.84375	18	6	142	18	0.04054054054054054	45	138	9	19	0.9387755102040817	45
chr1:178320718-178320818	chr1	178320718	178320818	L1PA2_dup231	.	14	82	8	0.14583333333333334	22	32	66	6	0.32653061224489793	22	20	184	13	0.09803921568627451	45	46	161	10	0.2222222222222222	45	17	247	19	0.06439393939393939	62	134	134	15	0.5	62
chr7:111445695-111445795	chr7	111445695	111445795	L1PA2_dup2316	.	2	131	8	0.015037593984962405	24	123	10	8	0.924812030075188	24	2	48	3	0.04	9	36	14	3	0.72	9	7	235	15	0.028925619834710745	44	230	12	15	0.9504132231404959	44
chr7:115031015-115031115	chr7	115031015	115031115	L1PA2_dup2329	.	5	56	8	0.08196721311475409	23	40	21	8	0.6557377049180327	23	8	49	10	0.14035087719298245	24	47	10	10	0.8245614035087719	24	4	114	20	0.03389830508474576	50	108	10	20	0.9152542372881356	50
chr1:178837548-178837648	chr1	178837548	178837648	L1PA2_dup234	.	1	20	1	0.047619047619047616	22	19	2	1	0.9047619047619048	22	0	19	2	0.0	21	18	1	2	0.9473684210526315	21	0	40	1	0.0	41	39	0	2	1.0	41
chr7:119586710-119586810	chr7	119586710	119586810	L1PA2_dup2342	.	4	98	7	0.0392156862745098	22	97	6	6	0.941747572815534	22	3	80	7	0.03614457831325301	18	74	9	7	0.891566265060241	18	1	243	17	0.004098360655737705	50	236	5	20	0.979253112033195	50
chr7:122238521-122238621	chr7	122238521	122238621	L1PA2_dup2343	.	16	105	9	0.1322314049586777	20	98	22	10	0.8166666666666667	20	5	151	16	0.03205128205128205	25	133	22	17	0.8580645161290322	25	8	305	18	0.025559105431309903	49	301	13	17	0.9585987261146497	49
chr7:122284845-122284945	chr7	122284845	122284945	L1PA2_dup2344	.	11	137	10	0.07432432432432433	23	120	29	9	0.8053691275167785	23	10	73	8	0.12048192771084337	14	65	18	8	0.7831325301204819	14	10	288	25	0.03355704697986577	48	277	17	29	0.9421768707482994	48
chr7:133895355-133895455	chr7	133895355	133895455	L1PA2_dup2363	.	13	77	8	0.14444444444444443	21	49	42	7	0.5384615384615384	21	14	91	5	0.13333333333333333	22	89	16	5	0.8476190476190476	22	10	155	19	0.06060606060606061	39	140	24	20	0.8536585365853658	39
chr7:136831192-136831292	chr7	136831192	136831292	L1PA2_dup2373	.	14	76	4	0.15555555555555556	19	54	36	4	0.6	19	27	49	11	0.35526315789473684	18	27	50	10	0.35064935064935066	18	18	160	22	0.10112359550561797	41	144	33	23	0.8135593220338984	41
chr8:123865907-123866007	chr8	123865907	123866007	L1PA2_dup2396	.	10	64	4	0.13513513513513514	14	52	23	3	0.6933333333333334	14	8	64	11	0.1111111111111111	16	61	12	10	0.8356164383561644	16	6	243	14	0.024096385542168676	49	227	20	16	0.9190283400809717	49
chr8:10938327-10938427	chr8	10938327	10938427	L1PA2_dup2408	.	9	48	4	0.15789473684210525	14	20	39	2	0.3389830508474576	14	13	53	7	0.19696969696969696	15	34	32	7	0.5151515151515151	15	13	214	25	0.05726872246696035	54	186	37	29	0.8340807174887892	54
chr1:185257705-185257805	chr1	185257705	185257805	L1PA2_dup241	.	0	90	5	0.0	19	84	5	6	0.9438202247191011	19	10	107	13	0.08547008547008547	26	105	13	12	0.8898305084745762	26	3	189	13	0.015625	44	187	4	14	0.9790575916230366	44
chr8:15561928-15562028	chr8	15561928	15562028	L1PA2_dup2414	.	5	40	3	0.1111111111111111	24	37	8	3	0.8222222222222222	24	2	24	6	0.07692307692307693	17	22	4	6	0.8461538461538461	17	3	82	10	0.03529411764705882	50	80	5	10	0.9411764705882353	50
chr1:185893234-185893334	chr1	185893234	185893334	L1PA2_dup242	.	0	26	0	0.0	13	25	1	0	0.9615384615384616	13	1	60	7	0.01639344262295082	34	57	4	7	0.9344262295081968	34	1	94	10	0.010526315789473684	55	92	1	12	0.989247311827957	55
chr8:16943969-16944069	chr8	16943969	16944069	L1PA2_dup2422	.	5	40	3	0.1111111111111111	17	31	14	3	0.6888888888888889	17	5	27	4	0.15625	12	12	20	4	0.375	12	8	99	17	0.07476635514018691	45	66	42	16	0.6111111111111112	45
chr8:23651119-23651219	chr8	23651119	23651219	L1PA2_dup2427	.	5	34	4	0.1282051282051282	23	26	13	4	0.6666666666666666	23	7	28	5	0.2	21	26	9	5	0.7428571428571429	21	10	75	18	0.11764705882352941	54	71	14	18	0.8352941176470589	54
chr8:25736254-25736354	chr8	25736254	25736354	L1PA2_dup2430	.	17	115	12	0.12878787878787878	27	93	40	11	0.6992481203007519	27	21	83	11	0.20192307692307693	21	69	35	11	0.6634615384615384	21	13	256	32	0.048327137546468404	59	243	25	33	0.9067164179104478	59
chr8:35177408-35177508	chr8	35177408	35177508	L1PA2_dup2436	.	3	74	7	0.03896103896103896	23	73	4	7	0.948051948051948	23	3	88	8	0.03296703296703297	25	82	9	8	0.9010989010989011	25	1	136	11	0.0072992700729927005	40	128	9	11	0.9343065693430657	40
chr8:35533971-35534071	chr8	35533971	35534071	L1PA2_dup2437	.	5	186	23	0.02617801047120419	32	174	18	22	0.90625	32	20	132	14	0.13157894736842105	24	124	29	13	0.8104575163398693	24	4	259	10	0.015209125475285171	41	250	10	13	0.9615384615384616	41
chr8:36394508-36394608	chr8	36394508	36394608	L1PA2_dup2439	.	11	58	11	0.15942028985507245	17	54	15	11	0.782608695652174	17	4	55	4	0.06779661016949153	13	48	11	4	0.8135593220338984	13	0	222	10	0.0	49	206	15	11	0.9321266968325792	49
chr1:186637332-186637432	chr1	186637332	186637432	L1PA2_dup244	.	8	98	4	0.07547169811320754	24	23	83	4	0.2169811320754717	24	2	96	6	0.02040816326530612	22	68	29	7	0.7010309278350515	22	7	256	14	0.026615969581749048	61	124	141	12	0.4679245283018868	61
chr8:40432213-40432313	chr8	40432213	40432313	L1PA2_dup2444	.	9	81	5	0.1	20	74	16	5	0.8222222222222222	20	9	90	3	0.09090909090909091	21	86	12	4	0.8775510204081632	21	3	175	8	0.016853932584269662	40	173	5	8	0.9719101123595506	40
chr8:43396980-43397080	chr8	43396980	43397080	L1PA2_dup2450	.	1	91	4	0.010869565217391304	20	73	19	4	0.7934782608695652	20	1	72	1	0.0136986301369863	15	65	8	1	0.8904109589041096	15	1	201	11	0.0049504950495049506	48	147	53	13	0.735	48
chr8:48799830-48799930	chr8	48799830	48799930	L1PA2_dup2468	.	1	40	3	0.024390243902439025	16	35	6	3	0.8536585365853658	16	4	38	4	0.09523809523809523	19	33	9	4	0.7857142857142857	19	3	142	5	0.020689655172413793	51	133	11	6	0.9236111111111112	51
chr8:58914691-58914791	chr8	58914691	58914791	L1PA2_dup2495	.	8	105	2	0.07079646017699115	21	42	71	2	0.37168141592920356	21	6	81	5	0.06896551724137931	16	34	52	6	0.3953488372093023	16	11	246	20	0.042801556420233464	51	100	159	18	0.3861003861003861	51
chr8:59875722-59875822	chr8	59875722	59875822	L1PA2_dup2496	.	3	100	9	0.02912621359223301	22	97	6	9	0.941747572815534	22	2	89	11	0.02197802197802198	17	89	2	11	0.978021978021978	17	6	196	17	0.0297029702970297	41	191	9	19	0.955	41
chr8:63490236-63490336	chr8	63490236	63490336	L1PA2_dup2503	.	9	71	9	0.1125	16	67	14	8	0.8271604938271605	16	14	120	6	0.1044776119402985	24	100	34	6	0.746268656716418	24	3	270	15	0.01098901098901099	50	265	8	15	0.9706959706959707	50
chr8:65120645-65120745	chr8	65120645	65120745	L1PA2_dup2506	.	0	87	7	0.0	19	85	2	7	0.9770114942528736	19	1	91	11	0.010869565217391304	21	80	9	14	0.898876404494382	21	3	183	12	0.016129032258064516	41	179	7	12	0.9623655913978495	41
chr8:66955019-66955119	chr8	66955019	66955119	L1PA2_dup2508	.	3	128	7	0.022900763358778626	24	124	5	9	0.9612403100775194	24	2	109	6	0.018018018018018018	20	104	4	9	0.9629629629629629	20	3	185	10	0.015957446808510637	34	174	11	13	0.9405405405405406	34
chr8:71406361-71406461	chr8	71406361	71406461	L1PA2_dup2512	.	6	70	6	0.07894736842105263	17	61	15	6	0.8026315789473685	17	18	69	9	0.20689655172413793	21	59	27	10	0.686046511627907	21	8	172	10	0.044444444444444446	39	165	15	10	0.9166666666666666	39
chr8:72153364-72153464	chr8	72153364	72153464	L1PA2_dup2514	.	27	80	10	0.2523364485981308	24	70	38	9	0.6481481481481481	24	15	69	3	0.17857142857142858	18	54	31	2	0.6352941176470588	18	7	162	19	0.04142011834319527	40	158	10	20	0.9404761904761905	40
chr8:74866520-74866620	chr8	74866520	74866620	L1PA2_dup2517	.	5	87	10	0.05434782608695652	19	82	12	8	0.8723404255319149	19	9	132	11	0.06382978723404255	26	130	11	11	0.9219858156028369	26	9	234	21	0.037037037037037035	46	229	15	20	0.9385245901639344	46
chr8:74948578-74948678	chr8	74948578	74948678	L1PA2_dup2518	.	11	94	6	0.10476190476190476	24	71	35	5	0.6698113207547169	24	21	81	16	0.20588235294117646	24	74	29	15	0.7184466019417476	24	15	183	18	0.07575757575757576	45	175	20	21	0.8974358974358975	45
chr1:188758160-188758260	chr1	188758160	188758260	L1PA2_dup252	.	6	50	3	0.10714285714285714	13	42	14	3	0.75	13	10	93	6	0.0970873786407767	23	58	44	7	0.5686274509803921	23	2	227	17	0.008733624454148471	51	225	5	16	0.9782608695652174	51
chr8:77088412-77088512	chr8	77088412	77088512	L1PA2_dup2521	.	4	55	11	0.06779661016949153	16	53	7	10	0.8833333333333333	16	4	40	3	0.09090909090909091	10	39	5	3	0.8863636363636364	10	9	282	17	0.030927835051546393	64	277	14	17	0.9518900343642611	64
chr8:81768217-81768317	chr8	81768217	81768317	L1PA2_dup2532	.	5	104	15	0.045871559633027525	22	94	16	14	0.8545454545454545	22	6	65	19	0.08450704225352113	16	62	10	18	0.8611111111111112	16	9	222	24	0.03896103896103896	46	215	15	25	0.9347826086956522	46
chr8:83447143-83447243	chr8	83447143	83447243	L1PA2_dup2537	.	2	50	7	0.038461538461538464	12	44	8	7	0.8461538461538461	12	2	41	10	0.046511627906976744	12	39	4	10	0.9069767441860465	12	4	183	27	0.0213903743315508	45	180	7	27	0.9625668449197861	45
chr8:84470066-84470166	chr8	84470066	84470166	L1PA2_dup2542	.	3	64	5	0.04477611940298507	18	63	4	5	0.9402985074626866	18	3	80	5	0.03614457831325301	22	70	13	5	0.8433734939759037	22	3	168	5	0.017543859649122806	45	163	6	7	0.9644970414201184	45
chr8:87624831-87624931	chr8	87624831	87624931	L1PA2_dup2552	.	1	20	3	0.047619047619047616	12	17	4	3	0.8095238095238095	12	0	35	1	0.0	19	34	1	1	0.9714285714285714	19	3	92	7	0.031578947368421054	52	90	4	8	0.9574468085106383	52
chr8:88148849-88148949	chr8	88148849	88148949	L1PA2_dup2553	.	5	99	12	0.04807692307692308	22	83	23	10	0.7830188679245284	22	9	63	5	0.125	12	46	27	4	0.6301369863013698	12	5	139	14	0.034722222222222224	29	136	5	17	0.9645390070921985	29
chr8:89535241-89535341	chr8	89535241	89535341	L1PA2_dup2557	.	6	109	12	0.05217391304347826	22	73	42	12	0.6347826086956522	22	6	107	6	0.05309734513274336	20	58	57	4	0.5043478260869565	20	14	195	22	0.06698564593301436	40	153	52	26	0.7463414634146341	40
chr8:91558669-91558769	chr8	91558669	91558769	L1PA2_dup2563	.	6	123	9	0.046511627906976744	21	114	13	11	0.8976377952755905	21	7	116	13	0.056910569105691054	22	101	21	14	0.8278688524590164	22	8	360	22	0.021739130434782608	62	359	8	23	0.9782016348773842	62
chr8:92370108-92370208	chr8	92370108	92370208	L1PA2_dup2565	.	9	124	14	0.06766917293233082	28	115	18	14	0.8646616541353384	28	6	92	5	0.061224489795918366	19	88	10	5	0.8979591836734694	19	1	209	23	0.004761904761904762	44	205	3	25	0.9855769230769231	44
chr8:93405813-93405913	chr8	93405813	93405913	L1PA2_dup2567	.	5	87	10	0.05434782608695652	18	78	15	9	0.8387096774193549	18	2	69	11	0.028169014084507043	14	65	7	10	0.9027777777777778	14	12	295	23	0.03908794788273615	56	284	21	25	0.9311475409836065	56
chr8:95558165-95558265	chr8	95558165	95558265	L1PA2_dup2571	.	15	114	10	0.11627906976744186	28	101	27	11	0.7890625	28	11	39	4	0.22	14	30	20	4	0.6	14	7	203	16	0.03333333333333333	48	196	12	18	0.9423076923076923	48
chr8:96116678-96116778	chr8	96116678	96116778	L1PA2_dup2572	.	12	64	6	0.15789473684210525	14	50	26	6	0.6578947368421053	14	21	154	15	0.12	32	109	65	16	0.6264367816091954	32	1	227	27	0.0043859649122807015	44	223	5	27	0.9780701754385965	44
chr8:97295604-97295704	chr8	97295604	97295704	L1PA2_dup2575	.	13	109	18	0.10655737704918032	22	105	18	17	0.8536585365853658	22	10	84	10	0.10638297872340426	15	71	24	9	0.7473684210526316	15	5	326	24	0.015105740181268883	53	316	11	28	0.9663608562691132	53
chr8:98260276-98260376	chr8	98260276	98260376	L1PA2_dup2577	.	8	113	12	0.06611570247933884	25	99	21	13	0.825	25	5	90	9	0.05263157894736842	18	84	11	9	0.8842105263157894	18	5	312	23	0.015772870662460567	65	299	13	28	0.9583333333333334	65
chr8:101678070-101678170	chr8	101678070	101678170	L1PA2_dup2585	.	0	74	5	0.0	17	70	4	5	0.9459459459459459	17	0	63	6	0.0	14	59	4	6	0.9365079365079365	14	4	294	26	0.013422818791946308	68	290	7	27	0.9764309764309764	68
chr8:101891501-101891601	chr8	101891501	101891601	L1PA2_dup2587	.	5	95	12	0.05	20	92	8	12	0.92	20	3	101	10	0.028846153846153848	20	86	16	12	0.8431372549019608	20	5	236	17	0.02074688796680498	45	224	12	22	0.9491525423728814	45
chr8:103608918-103609018	chr8	103608918	103609018	L1PA2_dup2588	.	5	88	10	0.053763440860215055	27	84	9	10	0.9032258064516129	27	4	54	10	0.06896551724137931	17	47	11	10	0.8103448275862069	17	3	191	17	0.015463917525773196	55	185	9	17	0.9536082474226805	55
chr8:114006207-114006307	chr8	114006207	114006307	L1PA2_dup2611	.	3	165	11	0.017857142857142856	26	105	62	12	0.6287425149700598	26	10	152	9	0.06172839506172839	25	112	51	8	0.6871165644171779	25	3	254	15	0.011673151750972763	43	218	39	15	0.8482490272373541	43
chr8:114504031-114504131	chr8	114504031	114504131	L1PA2_dup2615	.	7	62	11	0.10144927536231885	14	56	13	11	0.8115942028985508	14	10	123	16	0.07518796992481203	26	109	23	17	0.8257575757575758	26	3	209	11	0.014150943396226415	39	198	10	15	0.9519230769230769	39
chr8:114637215-114637315	chr8	114637215	114637315	L1PA2_dup2616	.	8	42	12	0.16	16	34	16	12	0.68	16	5	74	1	0.06329113924050633	20	66	13	1	0.8354430379746836	20	1	153	6	0.006493506493506494	41	152	2	6	0.987012987012987	41
chr8:119165310-119165410	chr8	119165310	119165410	L1PA2_dup2621	.	5	65	8	0.07142857142857142	16	59	10	9	0.855072463768116	16	5	52	4	0.08771929824561403	14	45	12	4	0.7894736842105263	14	3	196	13	0.01507537688442211	45	185	14	13	0.9296482412060302	45
chr8:120650087-120650187	chr8	120650087	120650187	L1PA2_dup2628	.	0	74	5	0.0	20	69	5	5	0.9324324324324325	20	2	47	6	0.04081632653061224	14	46	3	6	0.9387755102040817	14	2	111	15	0.017699115044247787	33	101	8	19	0.926605504587156	33
chr8:122244419-122244519	chr8	122244419	122244519	L1PA2_dup2634	.	6	49	8	0.10909090909090909	18	22	32	9	0.4074074074074074	18	2	53	1	0.03636363636363636	14	26	28	2	0.48148148148148145	14	10	159	12	0.05917159763313609	48	146	21	14	0.874251497005988	48
chr8:126805546-126805646	chr8	126805546	126805646	L1PA2_dup2648	.	5	30	1	0.14285714285714285	18	28	7	1	0.8	18	1	32	2	0.030303030303030304	18	26	7	2	0.7878787878787878	18	4	89	6	0.043010752688172046	52	86	7	6	0.9247311827956989	52
